category_id,category_name,subcategory,parent_category_id,platform
CAT-0001,Electronics,Subcategory 1,,Amazon
CAT-0002,Electronics,Subcategory 2,CAT-0001,Amazon
CAT-0003,Electronics,Subcategory 3,CAT-0001,Amazon
CAT-0004,Electronics,Subcategory 4,CAT-0001,Amazon
CAT-0005,Electronics,Subcategory 5,CAT-0001,Amazon
CAT-0006,Electronics,Subcategory 6,CAT-0001,Amazon
CAT-0007,Electronics,Subcategory 7,CAT-0001,Amazon
CAT-0008,Electronics,Subcategory 8,CAT-0001,Amazon
CAT-0009,Electronics,Subcategory 9,CAT-0001,Amazon
CAT-0010,Electronics,Subcategory 10,CAT-0001,Amazon
CAT-0011,Electronics,Subcategory 11,CAT-0001,Amazon
CAT-0012,Electronics,Subcategory 12,CAT-0001,Amazon
CAT-0013,Electronics,Subcategory 13,CAT-0001,Amazon
CAT-0014,Electronics,Subcategory 14,CAT-0001,Amazon
CAT-0015,Electronics,Subcategory 15,CAT-0001,Amazon
CAT-0016,Electronics,Subcategory 16,CAT-0001,Amazon
CAT-0017,Electronics,Subcategory 17,CAT-0001,Amazon
CAT-0018,Electronics,Subcategory 18,CAT-0001,Amazon
CAT-0019,Electronics,Subcategory 19,CAT-0001,Amazon
CAT-0020,Electronics,Subcategory 20,CAT-0001,Amazon
CAT-0021,Electronics,Subcategory 21,CAT-0001,Amazon
CAT-0022,Electronics,Subcategory 22,CAT-0001,Amazon
CAT-0023,Electronics,Subcategory 23,CAT-0001,Amazon
CAT-0024,Electronics,Subcategory 24,CAT-0001,Amazon
CAT-0025,Electronics,Subcategory 25,CAT-0001,Amazon
CAT-0026,Electronics,Subcategory 26,CAT-0001,Amazon
CAT-0027,Electronics,Subcategory 27,CAT-0001,Amazon
CAT-0028,Electronics,Subcategory 28,CAT-0001,Amazon
CAT-0029,Electronics,Subcategory 29,CAT-0001,Amazon
CAT-0030,Electronics,Subcategory 30,CAT-0001,Amazon
CAT-0031,Electronics,Subcategory 31,CAT-0001,Amazon
CAT-0032,Electronics,Subcategory 32,CAT-0001,Amazon
CAT-0033,Electronics,Subcategory 33,CAT-0001,Amazon
CAT-0034,Electronics,Subcategory 34,CAT-0001,Amazon
CAT-0035,Electronics,Subcategory 35,CAT-0001,Amazon
CAT-0036,Electronics,Subcategory 36,CAT-0001,Amazon
CAT-0037,Electronics,Subcategory 37,CAT-0001,Amazon
CAT-0038,Electronics,Subcategory 38,CAT-0001,Amazon
CAT-0039,Electronics,Subcategory 39,CAT-0001,Amazon
CAT-0040,Electronics,Subcategory 40,CAT-0001,Amazon
CAT-0041,Electronics,Subcategory 41,CAT-0001,Amazon
CAT-0042,Electronics,Subcategory 42,CAT-0001,Amazon
CAT-0043,Electronics,Subcategory 43,CAT-0001,Amazon
CAT-0044,Electronics,Subcategory 44,CAT-0001,Amazon
CAT-0045,Electronics,Subcategory 45,CAT-0001,Amazon
CAT-0046,Electronics,Subcategory 46,CAT-0001,Amazon
CAT-0047,Electronics,Subcategory 47,CAT-0001,Amazon
CAT-0048,Electronics,Subcategory 48,CAT-0001,Amazon
CAT-0049,Electronics,Subcategory 49,CAT-0001,Amazon
CAT-0050,Electronics,Subcategory 50,CAT-0051,Amazon
CAT-0051,Clothing,Subcategory 1,,Amazon
CAT-0052,Clothing,Subcategory 2,CAT-0051,Amazon
CAT-0053,Clothing,Subcategory 3,CAT-0051,Amazon
CAT-0054,Clothing,Subcategory 4,CAT-0051,Amazon
CAT-0055,Clothing,Subcategory 5,CAT-0051,Amazon
CAT-0056,Clothing,Subcategory 6,CAT-0051,Amazon
CAT-0057,Clothing,Subcategory 7,CAT-0051,Amazon
CAT-0058,Clothing,Subcategory 8,CAT-0051,Amazon
CAT-0059,Clothing,Subcategory 9,CAT-0051,Amazon
CAT-0060,Clothing,Subcategory 10,CAT-0051,Amazon
CAT-0061,Clothing,Subcategory 11,CAT-0051,Amazon
CAT-0062,Clothing,Subcategory 12,CAT-0051,Amazon
CAT-0063,Clothing,Subcategory 13,CAT-0051,Amazon
CAT-0064,Clothing,Subcategory 14,CAT-0051,Amazon
CAT-0065,Clothing,Subcategory 15,CAT-0051,Amazon
CAT-0066,Clothing,Subcategory 16,CAT-0051,Amazon
CAT-0067,Clothing,Subcategory 17,CAT-0051,Amazon
