order_item_id,order_id,product_id,quantity,unit_price,total_price,platform
ITM-100000,ORD-2026-21482,PRD-00695,5,736.11,3680.55,Amazon
ITM-100001,ORD-2026-25291,PRD-00383,5,2715.52,13577.6,Amazon
ITM-100002,ORD-2026-25588,PRD-01459,5,431.75,2158.75,Amazon
ITM-100003,ORD-2026-18866,PRD-01658,5,376.43,1882.15,Amazon
ITM-100004,ORD-2026-16124,PRD-01781,1,128.45,128.45,Amazon
ITM-100005,ORD-2026-14173,PRD-00949,4,1181.21,4724.84,Amazon
ITM-100006,ORD-2026-20696,PRD-02198,2,7649.4,15298.8,Amazon
ITM-100007,ORD-2026-27609,PRD-00900,1,13712.79,13712.79,Amazon
ITM-100008,ORD-2026-11374,PRD-00172,5,48276.59,241382.95,Amazon
ITM-100009,ORD-2026-25569,PRD-02059,3,4393.31,13179.93,Amazon
ITM-100010,ORD-2026-27544,PRD-01447,5,3061.96,15309.8,Amazon
ITM-100011,ORD-2026-15938,PRD-01141,1,593.14,593.14,Amazon
ITM-100012,ORD-2026-12049,PRD-00794,1,4342.56,4342.56,Amazon
ITM-100013,ORD-2026-25480,PRD-01979,2,628.42,1256.84,Amazon
ITM-100014,ORD-2026-17562,PRD-01853,3,1882.31,5646.93,Amazon
ITM-100015,ORD-2026-16234,PRD-02373,5,811.2,4056.0,Amazon
ITM-100016,ORD-2026-16862,PRD-01109,3,1471.03,4413.09,Amazon
ITM-100017,ORD-2026-23363,PRD-01208,4,2090.41,8361.64,Amazon
ITM-100018,ORD-2026-16807,PRD-00964,4,4756.83,19027.32,Amazon
ITM-100019,ORD-2026-26387,PRD-02286,2,993.19,1986.38,Amazon
ITM-100020,ORD-2026-25106,PRD-01084,3,368.57,1105.71,Amazon
ITM-100021,ORD-2026-10628,PRD-02338,1,796.96,796.96,Amazon
ITM-100022,ORD-2026-18598,PRD-00854,5,8990.78,44953.9,Amazon
ITM-100023,ORD-2026-24779,PRD-00182,1,10338.48,10338.48,Amazon
ITM-100024,ORD-2026-18618,PRD-01725,4,885.49,3541.96,Amazon
ITM-100025,ORD-2026-16510,PRD-01773,3,3774.69,11324.07,Amazon
ITM-100026,ORD-2026-21621,PRD-02210,2,4668.14,9336.28,Amazon
ITM-100027,ORD-2026-21740,PRD-01923,3,388.68,1166.04,Amazon
ITM-100028,ORD-2026-14015,PRD-00080,4,67594.63,270378.52,Amazon
ITM-100029,ORD-2026-14139,PRD-00582,1,913.69,913.69,Amazon
ITM-100030,ORD-2026-26253,PRD-01180,3,512.21,1536.63,Amazon
ITM-100031,ORD-2026-14181,PRD-02045,3,2768.08,8304.24,Amazon
ITM-100032,ORD-2026-17118,PRD-01192,5,1125.68,5628.400000000001,Amazon
ITM-100033,ORD-2026-23903,PRD-01086,2,2251.64,4503.28,Amazon
ITM-100034,ORD-2026-21761,PRD-00922,2,8441.51,16883.02,Amazon
ITM-100035,ORD-2026-16694,PRD-01112,5,760.46,3802.3,Amazon
ITM-100036,ORD-2026-10308,PRD-00586,5,424.01,2120.05,Amazon
ITM-100037,ORD-2026-13704,PRD-00972,4,8231.48,32925.92,Amazon
ITM-100038,ORD-2026-23720,PRD-00692,1,492.74,492.74,Amazon
ITM-100039,ORD-2026-15491,PRD-01523,5,424.6,2123.0,Amazon
ITM-100040,ORD-2026-23695,PRD-02311,4,461.56,1846.24,Amazon
ITM-100041,ORD-2026-10990,PRD-00445,1,1160.03,1160.03,Amazon
ITM-100042,ORD-2026-23146,PRD-01062,3,2416.74,7250.219999999999,Amazon
ITM-100043,ORD-2026-23116,PRD-02026,5,6405.77,32028.85,Amazon
ITM-100044,ORD-2026-11496,PRD-01508,2,119.85,239.7,Amazon
ITM-100045,ORD-2026-26116,PRD-01817,2,2457.47,4914.94,Amazon
ITM-100046,ORD-2026-17940,PRD-01349,3,1498.82,4496.46,Amazon
ITM-100047,ORD-2026-24792,PRD-00203,3,77986.01,233958.03,Amazon
ITM-100048,ORD-2026-12499,PRD-00744,3,893.5,2680.5,Amazon
ITM-100049,ORD-2026-26826,PRD-00171,4,13556.54,54226.16,Amazon
ITM-100050,ORD-2026-21430,PRD-02340,3,972.93,2918.79,Amazon
ITM-100051,ORD-2026-12305,PRD-01868,4,4610.21,18440.84,Amazon
ITM-100052,ORD-2026-10577,PRD-00857,5,6490.06,32450.3,Amazon
ITM-100053,ORD-2026-27572,PRD-01506,5,268.56,1342.8,Amazon
ITM-100054,ORD-2026-18191,PRD-01755,4,1731.03,6924.12,Amazon
ITM-100055,ORD-2026-27348,PRD-02462,1,988.25,988.25,Amazon
ITM-100056,ORD-2026-19721,PRD-00465,1,1076.6,1076.6,Amazon
ITM-100057,ORD-2026-13149,PRD-01995,5,2278.66,11393.3,Amazon
ITM-100058,ORD-2026-12269,PRD-00169,5,12694.07,63470.35,Amazon
ITM-100059,ORD-2026-17741,PRD-02007,1,4068.26,4068.26,Amazon
ITM-100060,ORD-2026-27457,PRD-02083,1,3200.39,3200.39,Amazon
ITM-100061,ORD-2026-27310,PRD-02214,4,4892.62,19570.48,Amazon
ITM-100062,ORD-2026-17142,PRD-01872,1,2733.42,2733.42,Amazon
ITM-100063,ORD-2026-17089,PRD-02183,2,7539.73,15079.46,Amazon
ITM-100064,ORD-2026-27623,PRD-02018,1,2839.39,2839.39,Amazon
ITM-100065,ORD-2026-27804,PRD-02130,1,5254.76,5254.76,Amazon
ITM-100066,ORD-2026-22522,PRD-00958,2,1079.14,2158.28,Amazon
ITM-100067,ORD-2026-21567,PRD-00480,3,1563.66,4690.98,Amazon
ITM-100068,ORD-2026-17581,PRD-00243,2,7502.34,15004.68,Amazon
ITM-100069,ORD-2026-10013,PRD-01405,5,1151.05,5755.25,Amazon
ITM-100070,ORD-2026-18651,PRD-01181,5,906.76,4533.8,Amazon
ITM-100071,ORD-2026-21243,PRD-02225,5,4473.95,22369.75,Amazon
ITM-100072,ORD-2026-27489,PRD-00608,3,533.49,1600.47,Amazon
ITM-100073,ORD-2026-24520,PRD-00259,3,2690.62,8071.86,Amazon
ITM-100074,ORD-2026-19790,PRD-02414,5,1225.68,6128.400000000001,Amazon
ITM-100075,ORD-2026-19717,PRD-01627,1,791.76,791.76,Amazon
ITM-100076,ORD-2026-24443,PRD-01682,4,322.99,1291.96,Amazon
ITM-100077,ORD-2026-26602,PRD-01037,4,2078.06,8312.24,Amazon
ITM-100078,ORD-2026-23483,PRD-02232,3,2470.44,7411.32,Amazon
ITM-100079,ORD-2026-19173,PRD-00171,3,13556.54,40669.62,Amazon
ITM-100080,ORD-2026-18154,PRD-00821,4,3565.16,14260.64,Amazon
ITM-100081,ORD-2026-27174,PRD-00044,1,43561.71,43561.71,Amazon
ITM-100082,ORD-2026-20092,PRD-01310,1,9877.02,9877.02,Amazon
ITM-100083,ORD-2026-11775,PRD-00769,3,4770.5,14311.5,Amazon
ITM-100084,ORD-2026-13042,PRD-01199,1,2326.45,2326.45,Amazon
ITM-100085,ORD-2026-20247,PRD-02143,4,5932.44,23729.76,Amazon
ITM-100086,ORD-2026-15976,PRD-01474,3,2636.66,7909.98,Amazon
ITM-100087,ORD-2026-24064,PRD-02427,2,331.89,663.78,Amazon
ITM-100088,ORD-2026-11456,PRD-00076,3,11922.39,35767.17,Amazon
ITM-100089,ORD-2026-27462,PRD-02489,5,1423.83,7119.15,Amazon
ITM-100090,ORD-2026-12316,PRD-01846,1,4381.11,4381.11,Amazon
ITM-100091,ORD-2026-26845,PRD-00148,1,71868.13,71868.13,Amazon
ITM-100092,ORD-2026-15493,PRD-02048,4,7316.58,29266.32,Amazon
ITM-100093,ORD-2026-21695,PRD-01512,3,170.85,512.55,Amazon
ITM-100094,ORD-2026-19468,PRD-00648,4,925.89,3703.56,Amazon
ITM-100095,ORD-2026-13420,PRD-01835,3,4803.04,14409.12,Amazon
ITM-100096,ORD-2026-10255,PRD-01043,3,456.27,1368.81,Amazon
ITM-100097,ORD-2026-20234,PRD-01008,2,223.31,446.62,Amazon
ITM-100098,ORD-2026-12634,PRD-00692,1,492.74,492.74,Amazon
ITM-100099,ORD-2026-17978,PRD-00764,5,10715.8,53579.0,Amazon
ITM-100100,ORD-2026-13426,PRD-00709,5,878.43,4392.15,Amazon
ITM-100101,ORD-2026-21118,PRD-00179,1,18036.02,18036.02,Amazon
ITM-100102,ORD-2026-16994,PRD-00425,4,1607.48,6429.92,Amazon
ITM-100103,ORD-2026-15217,PRD-02492,5,1304.67,6523.35,Amazon
ITM-100104,ORD-2026-19011,PRD-00808,2,7143.28,14286.56,Amazon
ITM-100105,ORD-2026-17133,PRD-00739,2,947.05,1894.1,Amazon
ITM-100106,ORD-2026-25706,PRD-02333,2,1057.69,2115.38,Amazon
ITM-100107,ORD-2026-21887,PRD-02312,5,615.06,3075.3,Amazon
ITM-100108,ORD-2026-10993,PRD-02412,2,1295.34,2590.68,Amazon
ITM-100109,ORD-2026-26666,PRD-02356,2,638.95,1277.9,Amazon
ITM-100110,ORD-2026-25188,PRD-00278,4,498.42,1993.68,Amazon
ITM-100111,ORD-2026-23063,PRD-01575,1,604.26,604.26,Amazon
ITM-100112,ORD-2026-23605,PRD-01120,5,834.69,4173.450000000001,Amazon
ITM-100113,ORD-2026-25255,PRD-01249,1,1373.69,1373.69,Amazon
ITM-100114,ORD-2026-25064,PRD-00265,2,872.69,1745.38,Amazon
ITM-100115,ORD-2026-24046,PRD-00914,4,757.65,3030.6,Amazon
ITM-100116,ORD-2026-13628,PRD-00688,1,664.71,664.71,Amazon
ITM-100117,ORD-2026-14268,PRD-01483,3,6093.62,18280.86,Amazon
ITM-100118,ORD-2026-22439,PRD-01981,5,3135.88,15679.4,Amazon
ITM-100119,ORD-2026-17056,PRD-01867,2,4555.23,9110.46,Amazon
ITM-100120,ORD-2026-25082,PRD-01852,2,2542.12,5084.24,Amazon
ITM-100121,ORD-2026-20964,PRD-01150,3,812.97,2438.91,Amazon
ITM-100122,ORD-2026-24860,PRD-02271,2,992.83,1985.66,Amazon
ITM-100123,ORD-2026-21904,PRD-02449,1,61.51,61.51,Amazon
ITM-100124,ORD-2026-16790,PRD-01086,2,2251.64,4503.28,Amazon
ITM-100125,ORD-2026-15563,PRD-00980,1,9800.63,9800.63,Amazon
ITM-100126,ORD-2026-22286,PRD-01805,1,2368.11,2368.11,Amazon
ITM-100127,ORD-2026-11995,PRD-01150,5,812.97,4064.85,Amazon
ITM-100128,ORD-2026-11330,PRD-00180,5,38787.78,193938.9,Amazon
ITM-100129,ORD-2026-11676,PRD-01235,5,2279.19,11395.95,Amazon
ITM-100130,ORD-2026-23477,PRD-02245,5,4669.26,23346.3,Amazon
ITM-100131,ORD-2026-15281,PRD-02114,3,6557.66,19672.98,Amazon
ITM-100132,ORD-2026-22630,PRD-01524,3,520.52,1561.56,Amazon
ITM-100133,ORD-2026-22038,PRD-01683,4,814.37,3257.48,Amazon
ITM-100134,ORD-2026-14538,PRD-01605,1,566.53,566.53,Amazon
ITM-100135,ORD-2026-17431,PRD-01927,4,1274.15,5096.6,Amazon
ITM-100136,ORD-2026-15998,PRD-00637,3,200.89,602.67,Amazon
ITM-100137,ORD-2026-25749,PRD-02494,4,425.38,1701.52,Amazon
ITM-100138,ORD-2026-13453,PRD-01660,1,477.61,477.61,Amazon
ITM-100139,ORD-2026-17476,PRD-00971,5,1694.01,8470.05,Amazon
ITM-100140,ORD-2026-16747,PRD-00246,2,73511.52,147023.04,Amazon
ITM-100141,ORD-2026-26825,PRD-01119,3,530.7,1592.1,Amazon
ITM-100142,ORD-2026-18503,PRD-00668,1,499.56,499.56,Amazon
ITM-100143,ORD-2026-12724,PRD-01126,2,276.49,552.98,Amazon
ITM-100144,ORD-2026-20524,PRD-01789,3,1562.88,4688.64,Amazon
ITM-100145,ORD-2026-10932,PRD-01977,1,573.96,573.96,Amazon
ITM-100146,ORD-2026-10265,PRD-02098,3,5983.28,17949.84,Amazon
ITM-100147,ORD-2026-15072,PRD-02368,1,1067.48,1067.48,Amazon
ITM-100148,ORD-2026-10055,PRD-01541,3,354.44,1063.32,Amazon
ITM-100149,ORD-2026-13371,PRD-00640,3,775.21,2325.63,Amazon
ITM-100150,ORD-2026-17491,PRD-01044,5,1675.69,8378.45,Amazon
ITM-100151,ORD-2026-23371,PRD-00600,1,165.57,165.57,Amazon
ITM-100152,ORD-2026-24888,PRD-00686,4,114.02,456.08,Amazon
ITM-100153,ORD-2026-19071,PRD-00949,2,1181.21,2362.42,Amazon
ITM-100154,ORD-2026-25491,PRD-02108,3,1509.49,4528.47,Amazon
ITM-100155,ORD-2026-15508,PRD-02081,5,6622.75,33113.75,Amazon
ITM-100156,ORD-2026-26835,PRD-00431,4,2496.39,9985.56,Amazon
ITM-100157,ORD-2026-13415,PRD-02111,3,1142.27,3426.81,Amazon
