order_id,customer_id,order_date,eta_days,delivery_date,order_status,total_amount,platform
ORD-2026-10000,CUST-483482,2025-06-04 08:00:00,3,2025-06-11 08:00:00,Shipped,0.0,Amazon
ORD-2026-10001,CUST-163577,2025-08-23 19:00:00,11,2025-09-03 19:00:00,Delivered,299055.21,Amazon
ORD-2026-10002,CUST-223354,2025-03-05 18:00:00,3,2025-03-13 18:00:00,Unknown,0.0,Amazon
ORD-2026-10003,CUST-274145,2026-04-18 22:00:00,10,2026-04-28 22:00:00,Delivered,0.0,Amazon
ORD-2026-10004,CUST-233654,2025-07-03 07:00:00,7,2025-07-13 07:00:00,Shipped,2567.56,Amazon
ORD-2026-10005,CUST-421754,2024-10-28 10:00:00,8,2024-11-05 10:00:00,Cancelled,22649.88,Amazon
ORD-2026-10006,CUST-187748,2025-06-29 13:00:00,3,2025-07-02 13:00:00,Delivered,22641.14,Amazon
ORD-2026-10007,CUST-493369,2025-09-12 09:00:00,4,2025-09-16 09:00:00,Shipped,2234.28,Amazon
ORD-2026-10008,CUST-149762,2026-05-26 04:00:00,9,2026-06-04 04:00:00,Delivered,2012.85,Amazon
ORD-2026-10009,CUST-262175,2025-02-11 19:00:00,4,2025-02-15 19:00:00,Delivered,0.0,Amazon
ORD-2026-10010,CUST-189306,2025-05-07 00:00:00,7,2025-05-14 00:00:00,Delivered,0.0,Amazon
ORD-2026-10011,CUST-392261,2024-12-29 20:00:00,11,2025-01-09 20:00:00,Delivered,0.0,Amazon
ORD-2026-10012,CUST-220023,2025-08-17 18:00:00,7,2025-08-28 18:00:00,Delivered,6303.710000000001,Amazon
ORD-2026-10013,CUST-456982,2024-08-06 17:00:00,5,2024-08-13 17:00:00,Pending,5971.4,Amazon
ORD-2026-10014,CUST-263173,2026-02-24 12:00:00,8,2026-03-07 12:00:00,Delivered,32406.61,Amazon
ORD-2026-10015,CUST-150933,2025-04-26 18:00:00,9,2025-05-07 18:00:00,Pending,10242.8,Amazon
ORD-2026-10016,CUST-259905,2025-08-27 12:00:00,12,2025-09-08 12:00:00,Delivered,142633.93,Amazon
ORD-2026-10017,CUST-439603,2025-09-27 21:00:00,12,2025-10-09 21:00:00,Delivered,0.0,Amazon
ORD-2026-10018,CUST-278991,2026-01-08 02:00:00,10,2026-01-18 02:00:00,Delivered,0.0,Amazon
ORD-2026-10019,CUST-438996,2024-11-27 21:00:00,5,2024-12-06 21:00:00,Pending,17806.47,Amazon
ORD-2026-10020,CUST-304732,2026-01-27 05:00:00,6,2026-01-31 05:00:00,Delivered,11852.82,Amazon
ORD-2026-10021,CUST-366729,2024-12-15 18:00:00,12,2024-12-27 18:00:00,Shipped,156872.88,Amazon
ORD-2026-10022,CUST-384934,2024-12-22 07:00:00,6,2024-12-28 07:00:00,Delivered,32072.43,Amazon
ORD-2026-10023,CUST-160380,2026-06-06 20:00:00,4,2026-06-10 20:00:00,Delivered,2434.18,Amazon
ORD-2026-10024,CUST-446125,2026-05-02 20:00:00,9,2026-05-11 20:00:00,Cancelled,393.56,Amazon
ORD-2026-10025,CUST-241103,2024-12-12 08:00:00,6,2024-12-18 08:00:00,Cancelled,0.0,Amazon
ORD-2026-10026,CUST-491552,2025-08-22 17:00:00,6,2025-08-28 17:00:00,Shipped,812.95,Amazon
ORD-2026-10027,CUST-296296,2025-12-10 04:00:00,10,2025-12-20 04:00:00,Shipped,1524.36,Amazon
ORD-2026-10028,CUST-143408,2025-02-01 01:00:00,8,2025-02-09 01:00:00,Shipped,575.83,Amazon
ORD-2026-10029,CUST-393579,2025-03-14 14:00:00,8,2025-03-25 14:00:00,Delivered,20996.49,Amazon
ORD-2026-10030,CUST-396335,2025-02-23 07:00:00,11,2025-03-06 07:00:00,Delivered,0.0,Amazon
ORD-2026-10031,CUST-482652,2025-12-05 22:00:00,6,2025-12-11 22:00:00,Cancelled,942.44,Amazon
ORD-2026-10032,CUST-237432,2026-02-17 08:00:00,11,2026-03-03 08:00:00,Shipped,6547.55,Amazon
ORD-2026-10033,CUST-350800,2024-09-18 12:00:00,3,2024-09-20 12:00:00,Shipped,4835.76,Amazon
ORD-2026-10034,CUST-143154,2026-06-17 22:00:00,11,2026-06-28 22:00:00,Delivered,0.0,Amazon
ORD-2026-10035,CUST-100575,2024-09-29 06:00:00,3,2024-10-02 06:00:00,Cancelled,12573.74,Amazon
ORD-2026-10036,CUST-294185,2026-01-04 13:00:00,9,2026-01-13 13:00:00,Delivered,697.83,Amazon
ORD-2026-10037,CUST-283326,2025-12-11 09:00:00,8,2025-12-20 09:00:00,Cancelled,15834.52,Amazon
ORD-2026-10038,CUST-160782,2026-07-19 16:00:00,9,2026-07-28 16:00:00,Shipped,6678.63,Amazon
ORD-2026-10039,CUST-425553,2025-06-25 15:00:00,11,2025-07-04 15:00:00,Delivered,7092.58,Amazon
ORD-2026-10040,CUST-191953,2025-12-21 07:00:00,12,2026-01-02 07:00:00,Delivered,18963.31,Amazon
ORD-2026-10041,CUST-462496,2024-09-16 08:00:00,6,2024-09-22 08:00:00,Pending,0.0,Amazon
ORD-2026-10042,CUST-253853,2025-06-28 10:00:00,11,2025-07-09 10:00:00,Delivered,0.0,Amazon
ORD-2026-10043,CUST-264731,2026-03-16 12:00:00,5,2026-03-23 12:00:00,Unknown,18188.25,Amazon
ORD-2026-10044,CUST-197338,2026-06-28 10:00:00,12,2026-07-15 10:00:00,Shipped,0.0,Amazon
ORD-2026-10045,CUST-177214,2026-06-17 14:00:00,11,2026-06-29 14:00:00,Delivered,0.0,Amazon
ORD-2026-10046,CUST-385526,2026-06-04 12:00:00,3,2026-06-07 12:00:00,Delivered,213.15,Amazon
ORD-2026-10047,CUST-322211,2026-05-24 21:00:00,7,2026-05-30 21:00:00,Delivered,6260.34,Amazon
ORD-2026-10048,CUST-493833,2025-08-10 14:00:00,12,2025-08-20 14:00:00,Delivered,0.0,Amazon
ORD-2026-10049,CUST-378796,2025-12-22 12:00:00,7,2025-12-29 12:00:00,Pending,4161.44,Amazon
ORD-2026-10050,CUST-347387,2026-02-21 21:00:00,3,2026-02-24 21:00:00,Shipped,278204.7,Amazon
ORD-2026-10051,CUST-271647,2024-07-28 01:00:00,3,2024-08-01 01:00:00,Delivered,6829.799999999999,Amazon
ORD-2026-10052,CUST-319829,2025-07-22 10:00:00,5,2025-07-29 10:00:00,Delivered,0.0,Amazon
ORD-2026-10053,CUST-355086,2024-10-02 23:00:00,11,2024-10-13 23:00:00,Delivered,6674.67,Amazon
ORD-2026-10054,CUST-250906,2024-12-07 12:00:00,9,2024-12-16 12:00:00,Cancelled,1546.23,Amazon
ORD-2026-10055,CUST-220234,2026-05-09 23:00:00,8,2026-05-17 23:00:00,Shipped,1063.32,Amazon
ORD-2026-10056,CUST-234130,2025-11-28 20:00:00,11,2025-12-08 20:00:00,Delivered,0.0,Amazon
ORD-2026-10057,CUST-484993,2025-10-03 08:00:00,6,2025-10-09 08:00:00,Shipped,18195.59,Amazon
