product_id,product_name,category_id,price,stock_quantity,description,platform
PRD-00001,Smartphone (Model A45),CAT-0001,23366.89,71,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00002,Smartphone (Model V79),CAT-0001,11520.41,216,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00003,Smartphone (Model A21),CAT-0001,21397.85,258,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00004,Smartphone (Model R35),CAT-0001,58701.47,359,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00005,Smartwatch (Model H67),CAT-0001,49194.93,414,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00006,Smartphone (Model Y30),CAT-0002,57360.45,174,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00007,Tablet (Model E37),CAT-0002,76790.98,172,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00008,Smartphone (Model C58),CAT-0002,12253.73,433,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00009,Tablet (Model T43),CAT-0002,65534.62,373,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00010,Smartwatch (Model R25),CAT-0002,77983.68,193,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00011,Smartphone (Model R47),CAT-0003,67205.35,316,High-quality smartphone suitable for Indian conditions.,Amazon
PRD-00012,Tablet (Model S34),CAT-0003,57842.89,23,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00013,Laptop (Model Y47),CAT-0003,78891.61,437,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00014,Laptop (Model D58),CAT-0003,25848.02,325,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00015,Tablet (Model F57),CAT-0003,31645.3,343,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00016,Tablet (Model W97),CAT-0004,53602.65,311,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00017,Laptop (Model R41),CAT-0004,17255.19,194,High-quality laptop suitable for Indian conditions.,Amazon
PRD-00018,Tablet (Model U98),CAT-0004,46771.23,350,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00019,Tablet (Model Y17),CAT-0004,22178.61,16,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00020,Tablet (Model M44),CAT-0004,9964.15,467,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00021,Tablet (Model G93),CAT-0005,42442.34,452,High-quality tablet suitable for Indian conditions.,Amazon
PRD-00022,Smartwatch (Model E43),CAT-0005,15472.27,381,High-quality smartwatch suitable for Indian conditions.,Amazon
PRD-00023,Tablet (Model X84),CAT-0005,37132.54,298,High-quality tablet suitable for Indian conditions.,Amazon
