review_id,product_id,customer_id,rating,review_text,review_date,platform
REV-100000,PRD-02453,CUST-199504,4.0,Not what I expected.,2025-04-29 02:00:00,Amazon
REV-100001,PRD-00632,CUST-450347,2.0,Not what I expected.,2025-09-27 22:00:00,Amazon
REV-100002,PRD-00873,CUST-377125,2.0,Great!,2025-08-08 09:00:00,Amazon
REV-100003,PRD-00331,CUST-317885,3.0,Good product.,2024-10-11 06:00:00,Amazon
REV-100004,PRD-01308,CUST-474492,4.0,Not what I expected.,2024-12-18 21:00:00,Amazon
REV-100005,PRD-02430,CUST-329324,3.0,Not what I expected.,2025-11-24 13:00:00,Amazon
REV-100006,PRD-01673,CUST-101495,2.0,Loved it!,2025-06-07 14:00:00,Amazon
REV-100007,PRD-01666,CUST-247795,5.0,Good product.,2025-11-27 13:00:00,Amazon
REV-100008,PRD-02414,CUST-171128,5.0,Good product.,2025-06-14 09:00:00,Amazon
REV-100009,PRD-01816,CUST-298169,4.0,Great!,2025-05-24 20:00:00,Amazon
REV-100010,PRD-01073,CUST-405123,5.0,Loved it!,2026-01-30 02:00:00,Amazon
REV-100011,PRD-02300,CUST-278352,3.0,Great!,2025-04-02 07:00:00,Amazon
REV-100012,PRD-01481,CUST-192814,5.0,Average.,2025-04-04 12:00:00,Amazon
REV-100013,PRD-00211,CUST-250191,1.0,Great!,2025-04-23 13:00:00,Amazon
REV-100014,PRD-01759,CUST-491519,3.0,Average.,2025-12-25 00:00:00,Amazon
REV-100015,PRD-01167,CUST-141452,3.0,Good product.,2024-08-13 01:00:00,Amazon
REV-100016,PRD-00829,CUST-173420,1.0,Great!,2025-06-17 17:00:00,Amazon
REV-100017,PRD-01334,CUST-339455,4.0,Loved it!,2025-04-01 17:00:00,Amazon
REV-100018,PRD-00191,CUST-163084,4.0,Not what I expected.,2024-10-05 07:00:00,Amazon
REV-100019,PRD-00707,CUST-473606,3.0,Loved it!,2025-06-27 22:00:00,Amazon
REV-100020,PRD-01340,CUST-120922,4.0,Not what I expected.,2024-10-10 04:00:00,Amazon
REV-100021,PRD-00602,CUST-302743,3.0,Not what I expected.,2024-11-01 01:00:00,Amazon
REV-100022,PRD-01718,CUST-434880,3.0,Great!,2025-04-25 19:00:00,Amazon
REV-100023,PRD-00885,CUST-417349,2.0,Loved it!,2025-06-24 07:00:00,Amazon
REV-100024,PRD-00455,CUST-345852,5.0,Good product.,2024-10-05 07:00:00,Amazon
REV-100025,PRD-01789,CUST-448559,5.0,Loved it!,2026-07-22 11:00:00,Amazon
REV-100026,PRD-01620,CUST-330055,1.0,Not what I expected.,2025-08-20 22:00:00,Amazon
REV-100027,PRD-01237,CUST-179912,3.0,Good product.,2025-10-04 08:00:00,Amazon
REV-100028,PRD-02115,CUST-233375,5.0,Good product.,2024-09-03 12:00:00,Amazon
REV-100029,PRD-00110,CUST-218606,4.0,Average.,2025-12-15 11:00:00,Amazon
REV-100031,PRD-02406,CUST-298958,5.0,Average.,2025-09-28 16:00:00,Amazon
